strategy,q_mag,q_phi,total_bits,sdr,si_sdr,mag_sdr,mag_mae,mag_rmse
max,4,4,8,17.807533740997314,17.74261236190796,21.70106530189514,0.00011684100900311023,0.0002813783212332055
centered,4,4,8,15.515435338020325,15.55144488811493,16.593981981277466,0.00018032608932117,0.0005109977209940553
max,4,6,10,20.642374753952026,20.609224438667297,21.70106530189514,0.00011684101264108904,0.0002813783285091631
centered,4,6,10,16.856642365455627,16.948969960212708,16.593981981277466,0.00018032608932117,0.0005109976918902248
max,6,4,10,19.05107021331787,18.999228477478027,33.96292328834534,2.4371378458454274e-05,6.825160380685702e-05
centered,6,4,10,18.67948830127716,18.70259702205658,27.24979043006897,6.650964132859372e-05,0.00014743183419341221
max,6,6,12,25.082192420959473,25.120436549186707,33.96292209625244,2.4371379367948975e-05,6.825161108281463e-05
centered,6,6,12,23.376165628433228,23.650231957435608,27.24979043006897,6.650964314758312e-05,0.00014743184146936983
max,8,4,12,19.143508672714233,19.098072052001953,44.4670033454895,5.118627541378373e-06,2.0352505998744164e-05
centered,8,4,12,19.088372588157654,19.046993851661682,38.23966860771179,1.1268678008491406e-05,4.160241951467469e-05
max,8,6,14,25.860933661460876,25.851334929466248,44.467012882232666,5.118625949762645e-06,2.0352482351881918e-05
centered,8,6,14,25.542110800743103,25.558401346206665,38.239665031433105,1.1268678917986108e-05,4.160243770456873e-05
